Country Code,Country Name,Region,Income Group,Gender,Year,Life Expectancy
UGA,Uganda,Sub-Saharan Africa,Low income,Total,1960,43.98356098
UKR,Ukraine,Europe & Central Asia,Lower middle income,Total,1960,68.29953659
UMC,Upper middle income,,,Total,1960,49.86632526
URY,Uruguay,Latin America & Caribbean,High income,Total,1960,67.89639024
USA,United States,North America,High income,Total,1960,69.77073171
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Total,1960,58.69404878
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,Total,1960,57.72080488
VEN,"Venezuela, RB",Latin America & Caribbean,Upper middle income,Total,1960,59.28512195
VGB,British Virgin Islands,Latin America & Caribbean,High income,Total,1960,
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,Total,1960,66.22485366
VNM,Vietnam,East Asia & Pacific,Lower middle income,Total,1960,59.06702439
VUT,Vanuatu,East Asia & Pacific,Lower middle income,Total,1960,46.48748781
WLD,World,,,Total,1960,52.58568527
WSM,Samoa,East Asia & Pacific,Upper middle income,Total,1960,49.9695122
XKX,Kosovo,Europe & Central Asia,Lower middle income,Total,1960,
YEM,"Yemen, Rep.",Middle East & North Africa,Lower middle income,Total,1960,34.36380488
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Total,1960,52.2262439
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,Total,1960,45.10980488
ZWE,Zimbabwe,Sub-Saharan Africa,Low income,Total,1960,51.54197561
ABW,Aruba,Latin America & Caribbean,High income,Male,1961,64.429
AFG,Afghanistan,South Asia,Low income,Male,1961,32.026
AGO,Angola,Sub-Saharan Africa,Lower middle income,Male,1961,32.098
ALB,Albania,Europe & Central Asia,Upper middle income,Male,1961,62.272
AND,Andorra,Europe & Central Asia,High income,Male,1961,
ARB,Arab World,,,Male,1961,46.36132041
ARE,United Arab Emirates,Middle East & North Africa,High income,Male,1961,50.776
ARG,Argentina,Latin America & Caribbean,Upper middle income,Male,1961,62.459
ARM,Armenia,Europe & Central Asia,Lower middle income,Male,1961,63.24
ASM,American Samoa,East Asia & Pacific,Upper middle income,Male,1961,
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,Male,1961,59.912
AUS,Australia,East Asia & Pacific,High income,Male,1961,67.9
AUT,Austria,Europe & Central Asia,High income,Male,1961,66.47
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Male,1961,57.752
BDI,Burundi,Sub-Saharan Africa,Low income,Male,1961,40.004
BEL,Belgium,Europe & Central Asia,High income,Male,1961,67.56
BEN,Benin,Sub-Saharan Africa,Low income,Male,1961,37.233
BFA,Burkina Faso,Sub-Saharan Africa,Low income,Male,1961,33.904
BGD,Bangladesh,South Asia,Lower middle income,Male,1961,46.155
BGR,Bulgaria,Europe & Central Asia,Upper middle income,Male,1961,68.42
BHR,Bahrain,Middle East & North Africa,High income,Male,1961,50.423
BHS,"Bahamas, The",Latin America & Caribbean,High income,Male,1961,61.073
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Male,1961,59.298
BLR,Belarus,Europe & Central Asia,Upper middle income,Male,1961,65.519
BLZ,Belize,Latin America & Caribbean,Upper middle income,Male,1961,59.224
BMU,Bermuda,North America,High income,Male,1961,
BOL,Bolivia,Latin America & Caribbean,Lower middle income,Male,1961,41.151
BRA,Brazil,Latin America & Caribbean,Upper middle income,Male,1961,52.877
BRB,Barbados,Latin America & Caribbean,High income,Male,1961,59.039
BRN,Brunei Darussalam,East Asia & Pacific,High income,Male,1961,61.667
BTN,Bhutan,South Asia,Lower middle income,Male,1961,34.356
BWA,Botswana,Sub-Saharan Africa,Upper middle income,Male,1961,49.133
CAF,Central African Republic,Sub-Saharan Africa,Low income,Male,1961,35.344
CAN,Canada,North America,High income,Male,1961,68.39
CEB,Central Europe and the Baltics,,,Male,1961,65.77070833
CHE,Switzerland,Europe & Central Asia,High income,Male,1961,68.84
CHI,Channel Islands,Europe & Central Asia,High income,Male,1961,67.871
CHL,Chile,Latin America & Caribbean,High income,Male,1961,54.936
CHN,China,East Asia & Pacific,Upper middle income,Male,1961,42.767
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,Male,1961,36.566
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Male,1961,40.679
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,Male,1961,39.855
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,Male,1961,47.972
COL,Colombia,Latin America & Caribbean,Upper middle income,Male,1961,55.577
COM,Comoros,Sub-Saharan Africa,Low income,Male,1961,40.361
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,Male,1961,47.867
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,Male,1961,59.931
CSS,Caribbean small states,,,Male,1961,60.94654146
CUB,Cuba,Latin America & Caribbean,Upper middle income,Male,1961,62.894
CUW,Curacao,Latin America & Caribbean,High income,Male,1961,
CYM,Cayman Islands,Latin America & Caribbean,High income,Male,1961,
CYP,Cyprus,Europe & Central Asia,High income,Male,1961,67.961
CZE,Czech Republic,Europe & Central Asia,High income,Male,1961,67.62
DEU,Germany,Europe & Central Asia,High income,Male,1961,66.908
DJI,Djibouti,Middle East & North Africa,Lower middle income,Male,1961,43.165
DMA,Dominica,Latin America & Caribbean,Upper middle income,Male,1961,
DNK,Denmark,Europe & Central Asia,High income,Male,1961,70.57
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Male,1961,51.108
DZA,Algeria,Middle East & North Africa,Upper middle income,Male,1961,45.883
EAP,East Asia & Pacific (excluding high income),,,Male,1961,44.68554273
EAR,Early-demographic dividend,,,Male,1961,45.44827017
EAS,East Asia & Pacific,,,Male,1961,47.28728492
ECA,Europe & Central Asia (excluding high income),,,Male,1961,60.39986516
ECS,Europe & Central Asia,,,Male,1961,64.41909793
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Male,1961,52.552
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,Male,1961,47.325
EMU,Euro area,,,Male,1961,66.93875762
ERI,Eritrea,Sub-Saharan Africa,Low income,Male,1961,37.609
ESP,Spain,Europe & Central Asia,High income,Male,1961,67.1
EST,Estonia,Europe & Central Asia,High income,Male,1961,64.433
ETH,Ethiopia,Sub-Saharan Africa,Low income,Male,1961,37.614
EUU,European Union,,,Male,1961,66.94566221
FCS,Fragile and conflict affected situations,,,Male,1961,39.70573946
FIN,Finland,Europe & Central Asia,High income,Male,1961,65.61
FJI,Fiji,East Asia & Pacific,Upper middle income,Male,1961,54.442
FRA,France,Europe & Central Asia,High income,Male,1961,66.8
FRO,Faroe Islands,Europe & Central Asia,High income,Male,1961,
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,Male,1961,57.449
GAB,Gabon,Sub-Saharan Africa,Upper middle income,Male,1961,38.39
GBR,United Kingdom,Europe & Central Asia,High income,Male,1961,68
GEO,Georgia,Europe & Central Asia,Lower middle income,Male,1961,60.086
GHA,Ghana,Sub-Saharan Africa,Lower middle income,Male,1961,45.935
GIB,Gibraltar,Europe & Central Asia,High income,Male,1961,
GIN,Guinea,Sub-Saharan Africa,Low income,Male,1961,33.966
GMB,"Gambia, The",Sub-Saharan Africa,Low income,Male,1961,31.131
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,Male,1961,36.635
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Male,1961,35.552
GRC,Greece,Europe & Central Asia,High income,Male,1961,66.274
GRD,Grenada,Latin America & Caribbean,Upper middle income,Male,1961,58.43
GRL,Greenland,Europe & Central Asia,High income,Male,1961,
GTM,Guatemala,Latin America & Caribbean,Lower middle income,Male,1961,46.552
GUM,Guam,East Asia & Pacific,High income,Male,1961,59.617
GUY,Guyana,Latin America & Caribbean,Upper middle income,Male,1961,57.946
HIC,High income,,,Male,1961,66.08532115
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Male,1961,63.999
HND,Honduras,Latin America & Caribbean,Lower middle income,Male,1961,45.279
HPC,Heavily indebted poor countries (HIPC),,,Male,1961,38.74914017
HRV,Croatia,Europe & Central Asia,Upper middle income,Male,1961,62.396
HTI,Haiti,Latin America & Caribbean,Low income,Male,1961,41.382
HUN,Hungary,Europe & Central Asia,High income,Male,1961,66.78
IBD,IBRD only,,,Male,1961,47.74591585
IBT,IDA & IBRD total,,,Male,1961,46.66563288
IDA,IDA total,,,Male,1961,41.30713297
IDB,IDA blend,,,Male,1961,43.08801239
IDN,Indonesia,East Asia & Pacific,Lower middle income,Male,1961,47.942
IDX,IDA only,,,Male,1961,40.43967835
IMN,Isle of Man,Europe & Central Asia,High income,Male,1961,
IND,India,South Asia,Lower middle income,Male,1961,42.51
INX,Not classified,South Asia,Lower middle income,Male,1961,
IRL,Ireland,Europe & Central Asia,High income,Male,1961,68.109
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,Male,1961,46.167
IRQ,Iraq,Middle East & North Africa,Upper middle income,Male,1961,49.757
ISL,Iceland,Europe & Central Asia,High income,Male,1961,70.84
ISR,Israel,Middle East & North Africa,High income,Male,1961,70.47
ITA,Italy,Europe & Central Asia,High income,Male,1961,67.17
JAM,Jamaica,Latin America & Caribbean,Upper middle income,Male,1961,63.277
JOR,Jordan,Middle East & North Africa,Lower middle income,Male,1961,53.152
JPN,Japan,East Asia & Pacific,High income,Male,1961,65.91
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,Male,1961,53.645
KEN,Kenya,Sub-Saharan Africa,Lower middle income,Male,1961,45.073
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,Male,1961,52.449
KHM,Cambodia,East Asia & Pacific,Lower middle income,Male,1961,39.705
KIR,Kiribati,East Asia & Pacific,Lower middle income,Male,1961,47.631
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income,Male,1961,
KOR,"Korea, Rep.",East Asia & Pacific,High income,Male,1961,51.266
KWT,Kuwait,Middle East & North Africa,High income,Male,1961,59.94
LAC,Latin America & Caribbean (excluding high income),,,Male,1961,54.35138232
LAO,Lao PDR,East Asia & Pacific,Lower middle income,Male,1961,41.869
LBN,Lebanon,Middle East & North Africa,Upper middle income,Male,1961,61.865
LBR,Liberia,Sub-Saharan Africa,Low income,Male,1961,32.737
LBY,Libya,Middle East & North Africa,Upper middle income,Male,1961,43.034
LCA,St. Lucia,Latin America & Caribbean,Upper middle income,Male,1961,54.498
LCN,Latin America & Caribbean,,,Male,1961,54.65836253
LDC,Least developed countries: UN classification,,,Male,1961,39.56527956
LIC,Low income,,,Male,1961,38.09029377
LIE,Liechtenstein,Europe & Central Asia,High income,Male,1961,
LKA,Sri Lanka,South Asia,Lower middle income,Male,1961,57.709
LMC,Lower middle income,,,Male,1961,45.52034667
LMY,Low & middle income,,,Male,1961,46.44512238
LSO,Lesotho,Sub-Saharan Africa,Lower middle income,Male,1961,45.344
LTE,Late-demographic dividend,,,Male,1961,48.55857247
LTU,Lithuania,Europe & Central Asia,High income,Male,1961,66.81
LUX,Luxembourg,Europe & Central Asia,High income,Male,1961,65.627
LVA,Latvia,Europe & Central Asia,High income,Male,1961,66.33
MAC,"Macao SAR, China",East Asia & Pacific,High income,Male,1961,63.437
MAF,St. Martin (French part),Latin America & Caribbean,High income,Male,1961,
MAR,Morocco,Middle East & North Africa,Lower middle income,Male,1961,47.709
MCO,Monaco,Europe & Central Asia,High income,Male,1961,
MDA,Moldova,Europe & Central Asia,Lower middle income,Male,1961,58.444
MDG,Madagascar,Sub-Saharan Africa,Low income,Male,1961,39.527
MDV,Maldives,South Asia,Upper middle income,Male,1961,37.851
MEA,Middle East & North Africa,,,Male,1961,47.10410273
MEX,Mexico,Latin America & Caribbean,Upper middle income,Male,1961,55.662
MHL,Marshall Islands,East Asia & Pacific,Upper middle income,Male,1961,
MIC,Middle income,,,Male,1961,47.04570786
MKD,"Macedonia, FYR",Europe & Central Asia,Upper middle income,Male,1961,60.785
MLI,Mali,Sub-Saharan Africa,Low income,Male,1961,27.548
MLT,Malta,Middle East & North Africa,High income,Male,1961,67.077
MMR,Myanmar,East Asia & Pacific,Lower middle income,Male,1961,40.564
MNA,Middle East & North Africa (excluding high income),,,Male,1961,46.61346703
MNE,Montenegro,Europe & Central Asia,Upper middle income,Male,1961,63.183
MNG,Mongolia,East Asia & Pacific,Lower middle income,Male,1961,47.118
MNP,Northern Mariana Islands,East Asia & Pacific,High income,Male,1961,
MOZ,Mozambique,Sub-Saharan Africa,Low income,Male,1961,34.137
MRT,Mauritania,Sub-Saharan Africa,Lower middle income,Male,1961,43.681
MUS,Mauritius,Sub-Saharan Africa,Upper middle income,Male,1961,57.963
MWI,Malawi,Sub-Saharan Africa,Low income,Male,1961,37.444
MYS,Malaysia,East Asia & Pacific,Upper middle income,Male,1961,59.25
NAC,North America,,,Male,1961,67.21884194
NAM,Namibia,Sub-Saharan Africa,Upper middle income,Male,1961,45.399
NCL,New Caledonia,East Asia & Pacific,High income,Male,1961,56.6
NER,Niger,Sub-Saharan Africa,Low income,Male,1961,34.631
NGA,Nigeria,Sub-Saharan Africa,Lower middle income,Male,1961,36.041
NIC,Nicaragua,Latin America & Caribbean,Lower middle income,Male,1961,46.352
NLD,Netherlands,Europe & Central Asia,High income,Male,1961,71.56
NOR,Norway,Europe & Central Asia,High income,Male,1961,71.17
NPL,Nepal,South Asia,Low income,Male,1961,35.407
NRU,Nauru,East Asia & Pacific,Upper middle income,Male,1961,
NZL,New Zealand,East Asia & Pacific,High income,Male,1961,68.4
OED,OECD members,,,Male,1961,64.9642372
OMN,Oman,Middle East & North Africa,High income,Male,1961,42.652
OSS,Other small states,,,Male,1961,49.78658877
PAK,Pakistan,South Asia,Lower middle income,Male,1961,46.049
PAN,Panama,Latin America & Caribbean,Upper middle income,Male,1961,60.358
PER,Peru,Latin America & Caribbean,Upper middle income,Male,1961,46.97
PHL,Philippines,East Asia & Pacific,Lower middle income,Male,1961,56.913
PLW,Palau,East Asia & Pacific,High income,Male,1961,
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income,Male,1961,40.733
POL,Poland,Europe & Central Asia,High income,Male,1961,64.9
PRE,Pre-demographic dividend,,,Male,1961,37.99977985
PRI,Puerto Rico,Latin America & Caribbean,High income,Male,1961,66.23
PRK,"Korea, Dem. People’s Rep.",East Asia & Pacific,Low income,Male,1961,48.708
PRT,Portugal,Europe & Central Asia,High income,Male,1961,60.487
PRY,Paraguay,Latin America & Caribbean,Upper middle income,Male,1961,62.089
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income,Male,1961,
PSS,Pacific island small states,,,Male,1961,52.41500522
PST,Post-demographic dividend,,,Male,1961,66.36646093
PYF,French Polynesia,East Asia & Pacific,High income,Male,1961,55.29
QAT,Qatar,Middle East & North Africa,High income,Male,1961,60.041
ROU,Romania,Europe & Central Asia,Upper middle income,Male,1961,64.591
RUS,Russian Federation,Europe & Central Asia,Upper middle income,Male,1961,62.578
RWA,Rwanda,Sub-Saharan Africa,Low income,Male,1961,40.999
SAS,South Asia,,,Male,1961,43.08693238
SAU,Saudi Arabia,Middle East & North Africa,High income,Male,1961,44.19
SDN,Sudan,Sub-Saharan Africa,Lower middle income,Male,1961,47.213
SEN,Senegal,Sub-Saharan Africa,Low income,Male,1961,37.613
SGP,Singapore,East Asia & Pacific,High income,Male,1961,62.755
SLB,Solomon Islands,East Asia & Pacific,Lower middle income,Male,1961,49.15
SLE,Sierra Leone,Sub-Saharan Africa,Low income,Male,1961,29.018
SLV,El Salvador,Latin America & Caribbean,Lower middle income,Male,1961,48.383
SMR,San Marino,Europe & Central Asia,High income,Male,1961,
SOM,Somalia,Sub-Saharan Africa,Low income,Male,1961,35.874
SRB,Serbia,Europe & Central Asia,Upper middle income,Male,1961,
SSA,Sub-Saharan Africa (excluding high income),,,Male,1961,39.42311055
SSD,South Sudan,Sub-Saharan Africa,Low income,Male,1961,30.795
SSF,Sub-Saharan Africa,,,Male,1961,39.42311055
SST,Small states,,,Male,1961,53.19223517
STP,Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,Male,1961,49.575
SUR,Suriname,Latin America & Caribbean,Upper middle income,Male,1961,58.247
SVK,Slovak Republic,Europe & Central Asia,High income,Male,1961,68.025
SVN,Slovenia,Europe & Central Asia,High income,Male,1961,66.1
SWE,Sweden,Europe & Central Asia,High income,Male,1961,71.65
SWZ,Swaziland,Sub-Saharan Africa,Lower middle income,Male,1961,42.63
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income,Male,1961,
SYC,Seychelles,Sub-Saharan Africa,High income,Male,1961,
SYR,Syrian Arab Republic,Middle East & North Africa,Lower middle income,Male,1961,51.257
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income,Male,1961,
TCD,Chad,Sub-Saharan Africa,Low income,Male,1961,36.304
TEA,East Asia & Pacific (IDA & IBRD countries),,,Male,1961,44.63737983
TEC,Europe & Central Asia (IDA & IBRD countries),,,Male,1961,60.85823993
TGO,Togo,Sub-Saharan Africa,Low income,Male,1961,39.976
THA,Thailand,East Asia & Pacific,Upper middle income,Male,1961,52.962
TJK,Tajikistan,Europe & Central Asia,Lower middle income,Male,1961,54.207
TKM,Turkmenistan,Europe & Central Asia,Upper middle income,Male,1961,51.379
TLA,Latin America & the Caribbean (IDA & IBRD countries),,,Male,1961,54.23606798
TLS,Timor-Leste,East Asia & Pacific,Lower middle income,Male,1961,33.68
TMN,Middle East & North Africa (IDA & IBRD countries),,,Male,1961,46.61346703
TON,Tonga,East Asia & Pacific,Upper middle income,Male,1961,61.361
TSA,South Asia (IDA & IBRD),,,Male,1961,43.08693238
TSS,Sub-Saharan Africa (IDA & IBRD countries),,,Male,1961,39.42311055
TTO,Trinidad and Tobago,Latin America & Caribbean,High income,Male,1961,61.604
TUN,Tunisia,Middle East & North Africa,Lower middle income,Male,1961,41.686
TUR,Turkey,Europe & Central Asia,Upper middle income,Male,1961,43.244
TUV,Tuvalu,East Asia & Pacific,Upper middle income,Male,1961,
TZA,Tanzania,Sub-Saharan Africa,Low income,Male,1961,42.259
UGA,Uganda,Sub-Saharan Africa,Low income,Male,1961,43.021
UKR,Ukraine,Europe & Central Asia,Lower middle income,Male,1961,66.078
UMC,Upper middle income,,,Male,1961,48.33191738
URY,Uruguay,Latin America & Caribbean,High income,Male,1961,65.064
USA,United States,North America,High income,Male,1961,67.1
UZB,Uzbekistan,Europe & Central Asia,Lower middle income,Male,1961,55.486
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income,Male,1961,56.873
VEN,"Venezuela, RB",Latin America & Caribbean,Upper middle income,Male,1961,58.225
VGB,British Virgin Islands,Latin America & Caribbean,High income,Male,1961,
VIR,Virgin Islands (U.S.),Latin America & Caribbean,High income,Male,1961,64.967
VNM,Vietnam,East Asia & Pacific,Lower middle income,Male,1961,56.212
VUT,Vanuatu,East Asia & Pacific,Lower middle income,Male,1961,45.672
WLD,World,,,Male,1961,51.2393022
WSM,Samoa,East Asia & Pacific,Upper middle income,Male,1961,47.25
XKX,Kosovo,Europe & Central Asia,Lower middle income,Male,1961,
YEM,"Yemen, Rep.",Middle East & North Africa,Lower middle income,Male,1961,33.343
ZAF,South Africa,Sub-Saharan Africa,Upper middle income,Male,1961,50.458
ZMB,Zambia,Sub-Saharan Africa,Lower middle income,Male,1961,44.008
ZWE,Zimbabwe,Sub-Saharan Africa,Low income,Male,1961,50.353
ABW,Aruba,Latin America & Caribbean,High income,Female,1961,67.625
AFG,Afghanistan,South Asia,Low income,Female,1961,33.586
AGO,Angola,Sub-Saharan Africa,Lower middle income,Female,1961,35.07
ALB,Albania,Europe & Central Asia,Upper middle income,Female,1961,64.325
AND,Andorra,Europe & Central Asia,High income,Female,1961,
ARB,Arab World,,,Female,1961,48.48538762
ARE,United Arab Emirates,Middle East & North Africa,High income,Female,1961,56.02
ARG,Argentina,Latin America & Caribbean,Upper middle income,Female,1961,68.362
ARM,Armenia,Europe & Central Asia,Lower middle income,Female,1961,69.481
ASM,American Samoa,East Asia & Pacific,Upper middle income,Female,1961,
ATG,Antigua and Barbuda,Latin America & Caribbean,High income,Female,1961,64.593
AUS,Australia,East Asia & Pacific,High income,Female,1961,74.2
AUT,Austria,Europe & Central Asia,High income,Female,1961,72.84
AZE,Azerbaijan,Europe & Central Asia,Upper middle income,Female,1961,64.403
BDI,Burundi,Sub-Saharan Africa,Low income,Female,1961,43.164
BEL,Belgium,Europe & Central Asia,High income,Female,1961,73.63
BEN,Benin,Sub-Saharan Africa,Low income,Female,1961,38.27
BFA,Burkina Faso,Sub-Saharan Africa,Low income,Female,1961,36.025
BGD,Bangladesh,South Asia,Lower middle income,Female,1961,46.776
BGR,Bulgaria,Europe & Central Asia,Upper middle income,Female,1961,72.06
BHR,Bahrain,Middle East & North Africa,High income,Female,1961,56.65
BHS,"Bahamas, The",Latin America & Caribbean,High income,Female,1961,65.172
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,Female,1961,62.656
BLR,Belarus,Europe & Central Asia,Upper middle income,Female,1961,71.041
BLZ,Belize,Latin America & Caribbean,Upper middle income,Female,1961,61.866
BMU,Bermuda,North America,High income,Female,1961,
BOL,Bolivia,Latin America & Caribbean,Lower middle income,Female,1961,43.78
BRA,Brazil,Latin America & Caribbean,Upper middle income,Female,1961,56.669
BRB,Barbados,Latin America & Caribbean,High income,Female,1961,63.5
BRN,Brunei Darussalam,East Asia & Pacific,High income,Female,1961,64.5
BTN,Bhutan,South Asia,Lower middle income,Female,1961,35.444
BWA,Botswana,Sub-Saharan Africa,Upper middle income,Female,1961,52.771
CAF,Central African Republic,Sub-Saharan Africa,Low income,Female,1961,38.525
CAN,Canada,North America,High income,Female,1961,74.45
CEB,Central Europe and the Baltics,,,Female,1961,70.89487084
CHE,Switzerland,Europe & Central Asia,High income,Female,1961,74.59
CHI,Channel Islands,Europe & Central Asia,High income,Female,1961,73.741
CHL,Chile,Latin America & Caribbean,High income,Female,1961,60.519
CHN,China,East Asia & Pacific,Upper middle income,Female,1961,45.497
CIV,Cote d'Ivoire,Sub-Saharan Africa,Lower middle income,Female,1961,38.61
CMR,Cameroon,Sub-Saharan Africa,Lower middle income,Female,1961,43.316
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low income,Female,1961,42.681
COG,"Congo, Rep.",Sub-Saharan Africa,Lower middle income,Female,1961,50.551
COL,Colombia,Latin America & Caribbean,Upper middle income,Female,1961,59.002
COM,Comoros,Sub-Saharan Africa,Low income,Female,1961,43.392
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income,Female,1961,50.288
CRI,Costa Rica,Latin America & Caribbean,Upper middle income,Female,1961,62.714
CSS,Caribbean small states,,,Female,1961,64.76565635
CUB,Cuba,Latin America & Caribbean,Upper middle income,Female,1961,66.22
CUW,Curacao,Latin America & Caribbean,High income,Female,1961,
CYM,Cayman Islands,Latin America & Caribbean,High income,Female,1961,
CYP,Cyprus,Europe & Central Asia,High income,Female,1961,71.993
CZE,Czech Republic,Europe & Central Asia,High income,Female,1961,73.55
DEU,Germany,Europe & Central Asia,High income,Female,1961,72.238
DJI,Djibouti,Middle East & North Africa,Lower middle income,Female,1961,45.802
DMA,Dominica,Latin America & Caribbean,Upper middle income,Female,1961,
DNK,Denmark,Europe & Central Asia,High income,Female,1961,74.4
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income,Female,1961,54.122
DZA,Algeria,Middle East & North Africa,Upper middle income,Female,1961,47.333
EAP,East Asia & Pacific (excluding high income),,,Female,1961,47.8666211
EAR,Early-demographic dividend,,,Female,1961,46.36934898
EAS,East Asia & Pacific,,,Female,1961,50.88252562
ECA,Europe & Central Asia (excluding high income),,,Female,1961,67.61319836
ECS,Europe & Central Asia,,,Female,1961,70.54570843
ECU,Ecuador,Latin America & Caribbean,Upper middle income,Female,1961,55.152
EGY,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,Female,1961,49.901
EMU,Euro area,,,Female,1961,72.49163547
ERI,Eritrea,Sub-Saharan Africa,Low income,Female,1961,40.585
ESP,Spain,Europe & Central Asia,High income,Female,1961,71.98
EST,Estonia,Europe & Central Asia,High income,Female,1961,72.485
ETH,Ethiopia,Sub-Saharan Africa,Low income,Female,1961,40.596
EUU,European Union,,,Female,1961,72.37334935
FCS,Fragile and conflict affected situations,,,Female,1961,42.71470319
FIN,Finland,Europe & Central Asia,High income,Female,1961,72.24
FJI,Fiji,East Asia & Pacific,Upper middle income,Female,1961,58.441
FRA,France,Europe & Central Asia,High income,Female,1961,73.6
FRO,Faroe Islands,Europe & Central Asia,High income,Female,1961,
FSM,"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,Female,1961,58.549
GAB,Gabon,Sub-Saharan Africa,Upper middle income,Female,1961,41.543
GBR,United Kingdom,Europe & Central Asia,High income,Female,1961,73.9
GEO,Georgia,Europe & Central Asia,Lower middle income,Female,1961,67.765
GHA,Ghana,Sub-Saharan Africa,Lower middle income,Female,1961,46.615
GIB,Gibraltar,Europe & Central Asia,High income,Female,1961,
GIN,Guinea,Sub-Saharan Africa,Low income,Female,1961,36.252
GMB,"Gambia, The",Sub-Saharan Africa,Low income,Female,1961,33.58
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income,Female,1961,39.727
GNQ,Equatorial Guinea,Sub-Saharan Africa,Upper middle income,Female,1961,38.587
GRC,Greece,Europe & Central Asia,High income,Female,1961,70.937
GRD,Grenada,Latin America & Caribbean,Upper middle income,Female,1961,62.16
GRL,Greenland,Europe & Central Asia,High income,Female,1961,
GTM,Guatemala,Latin America & Caribbean,Lower middle income,Female,1961,47.92
GUM,Guam,East Asia & Pacific,High income,Female,1961,63.939
GUY,Guyana,Latin America & Caribbean,Upper middle income,Female,1961,63.104
HIC,High income,,,Female,1961,71.81765819
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income,Female,1961,71.276
HND,Honduras,Latin America & Caribbean,Lower middle income,Female,1961,48.733
HPC,Heavily indebted poor countries (HIPC),,,Female,1961,41.30538212
HRV,Croatia,Europe & Central Asia,Upper middle income,Female,1961,67.766
HTI,Haiti,Latin America & Caribbean,Low income,Female,1961,44.051
HUN,Hungary,Europe & Central Asia,High income,Female,1961,71.2
IBD,IBRD only,,,Female,1961,50.8459133
IBT,IDA & IBRD total,,,Female,1961,49.64265457
IDA,IDA total,,,Female,1961,43.70611035
IDB,IDA blend,,,Female,1961,45.56074241
IDN,Indonesia,East Asia & Pacific,Lower middle income,Female,1961,50.664
IDX,IDA only,,,Female,1961,42.8423461
IMN,Isle of Man,Europe & Central Asia,High income,Female,1961,
IND,India,South Asia,Lower middle income,Female,1961,41.032
INX,Not classified,,,Female,1961,
IRL,Ireland,Europe & Central Asia,High income,Female,1961,71.941
IRN,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,Female,1961,44.818
IRQ,Iraq,Middle East & North Africa,Upper middle income,Female,1961,48.68
ISL,Iceland,Europe & Central Asia,High income,Female,1961,76.3
ISR,Israel,Middle East & North Africa,High income,Female,1961,73.62
ITA,Italy,Europe & Central Asia,High income,Female,1961,72.48
JAM,Jamaica,Latin America & Caribbean,Upper middle income,Female,1961,66.555
JOR,Jordan,Middle East & North Africa,Lower middle income,Female,1961,53.807
JPN,Japan,East Asia & Pacific,High income,Female,1961,70.83
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income,Female,1961,64.175
KEN,Kenya,Sub-Saharan Africa,Lower middle income,Female,1961,49.05
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income,Female,1961,60.885
KHM,Cambodia,East Asia & Pacific,Lower middle income,Female,1961,43.093
KIR,Kiribati,East Asia & Pacific,Lower middle income,Female,1961,51.962
